gene,mi_score,rf_importance,combined_score
tnpR,0.059890646287468347,0.010092721346976181,0.99999999421108
ugpA_2,0.05088136157427901,0.008091267087430541,0.8256321896655219
yjgB_2,0.051035219114862265,0.004109597614209282,0.6296621755151774
group_12558,0.052852579427867724,0.0032461704109148677,0.6020597507914266
group_20717,0.05776296170324366,0.0023719619043971914,0.5997454589914568
ugpC_2,0.04910582734751881,0.003581497699836712,0.5873921395862389
parD1,0.05972901679780636,0.0015272795125933632,0.5743130501332641
group_3326,0.034944279279971485,0.005428293682134158,0.560655237143858
group_26088,0.05008708303763612,0.002784734203973137,0.5561120178919565
group_15883,0.043527326366349914,0.003796801190436509,0.5514860255342096
mphR,0.04552727129601998,0.0033887544962874295,0.5479677647360609
yfaX1_2,0.0503939787795738,0.002432300770750853,0.5412143700257829
group_25010,0.05667851344920816,0.0011548065071817722,0.5303932176481608
repE,0.055222792029275186,0.0013856448308596713,0.5296759369410674
tdcF_2,0.04865431677266255,0.0019540837367631146,0.5029995327304224
group_21010,0.042344331031153426,0.002801057462295439,0.49227993747116494
yjgL_2,0.04148931729253354,0.00272152546426927,0.4812017462651892
group_3469,0.035172008644538774,0.0031809528637487504,0.4512217177247362
kdgT_2,0.04594100759603331,0.0013654510432972561,0.45118609048329816
group_15621,0.0416591881666534,0.0019461004623223836,0.44420486149657423
ugpB_2,0.05006754300324952,0.0005001510088400796,0.44276914613260043
rsvB,0.04508062755253961,0.001325607350687614,0.44202928294103183
ycjP_2,0.04799229624105149,0.0008126489523148143,0.4409251984874079
rfbC,0.03590763633608954,0.002794816179370647,0.4382336785561165
group_25008,0.04736469199416264,0.0008445818154582659,0.43726758847556507
wbbJ,0.03526663019759525,0.0026658475203808637,0.42649301589487465
group_15443,0.03875929028563972,0.0020759579470600175,0.42642814610682633
ebr,0.038032648911805855,0.002169686565668707,0.4250051217890034
group_7167,0.04799229624105149,0.0004837650904161882,0.4246320775672244
tnpA_4,0.03608354641813789,0.002485461980422873,0.42437666382684824
group_12513,0.03781777993547465,0.0020260306585324584,0.41609447030064134
group_18642,0.04060285789163859,0.001468684610028727,0.41173454377855523
dhfrI,0.03752107189664172,0.0019592205221804766,0.4103075709618103
group_2358,0.03978950023608292,0.0015539508193765112,0.40916833105369677
group_7283,0.03664833027851977,0.001978494915546566,0.40397631072557
group_20781,0.038261015701818724,0.0016401842926494783,0.40067976535610034
group_26394,0.03340796039124336,0.0024329464717256174,0.3994377499794507
group_15444,0.04239214709180869,0.0009127952946192394,0.39913339344301735
group_21540,0.03530969618185592,0.0021029717512483777,0.3989673218333908
group_21533,0.03303074722312985,0.0024414753463224276,0.3967110933326239
group_3733,0.03963544195628957,0.0012128356849952777,0.3909831018082718
ccdB_2,0.04129267240281115,0.000876470793940006,0.38815483557612523
group_21547,0.03442664750599331,0.0019023381393607909,0.38165562667968944
group_26367,0.035705081845278944,0.001555939026566433,0.37516786066183877
icc_2,0.042377695448302666,0.00034913305303229465,0.3710885482840251
group_8965,0.03130470042410141,0.0021800932997506454,0.3693520699016068
group_3308,0.03173488462010088,0.0019398134372632817,0.3610398627552949
group_26087,0.03737309289193673,0.0008710324822230904,0.3551626160785642
group_26364,0.03465690199623632,0.0012288612022500784,0.35021343108764164
