gene,mi_score,rf_importance,combined_score
group_15883,0.1600933377642766,0.015457541781441422,0.9381030313477838
yjgL_2,0.17648395097264719,0.01186938032124856,0.8668916509158027
chpB,0.1684978704868818,0.011498635762287428,0.8330450100006606
group_17581,0.15780354304964825,0.010885128244158042,0.7839345492361884
group_15443,0.1479941409564483,0.011077230299749354,0.7633045154774539
yihF_2,0.1827119707382732,0.007404544989763459,0.7395123700163937
mphR,0.1384665176488682,0.010654655856165198,0.7235628451432671
group_2358,0.15997660706297417,0.008511792397675626,0.7131117318196694
group_3733,0.15559158973642323,0.008661997166372237,0.705970547326832
repE,0.17654141769762363,0.006404450840248928,0.6902766430570453
ccdB_2,0.15790700181229445,0.007964310723688924,0.6897389497780784
group_21540,0.1250069180536365,0.010675402546341273,0.6874010968849906
group_8629,0.13789800048832826,0.00837989111811443,0.6484260074984509
gemA,0.14028325874202402,0.008146394981603433,0.6474005578012894
group_3469,0.12584054560490504,0.009363605850784988,0.6472501040484218
focA,0.15132645506749176,0.00632448797072362,0.6186881657764374
group_16262,0.15132645506749176,0.006304308063630693,0.6180354129892314
ugpC_2,0.13166375340146141,0.00792898325977993,0.6167803262588485
group_18642,0.1694607271809127,0.0047110061305053325,0.6161227001118253
group_9126,0.16911351593034565,0.004298316139293571,0.6018233932160009
group_24946,0.1595360946239442,0.004876055313071913,0.5943022623619159
group_12558,0.13633601649735833,0.00661586814677936,0.5870912957877474
rsvB,0.150022370331524,0.0053458461422729395,0.5834636719813358
group_26359,0.1250069180536365,0.006982275735451009,0.5679407441582646
yfaX1_2,0.13556627138917313,0.006024494386692391,0.5658558800559144
group_7221,0.13348278027587285,0.006072795286195572,0.5617166807462127
ugpA_2,0.13484508046174565,0.005941901393492473,0.5612106985126577
ugpB_2,0.13054718440252489,0.006301274418092214,0.5610738219759887
yagE_3,0.12816220287443192,0.006317342999351983,0.5550669716552238
group_16997,0.13504850865589457,0.005531248894275326,0.5484841487325974
allS_3,0.13737151553122606,0.005271697274726784,0.5464455370761572
group_26402,0.13191570637748606,0.005537477571825567,0.5401125632392212
yjgB_2,0.13258023110903067,0.005439988112057048,0.5387776074355825
group_17582,0.15780354304964825,0.002826251003770068,0.5232567098294069
rz,0.13306228062973408,0.004891351143830383,0.5223501801417917
group_15783,0.1437562865326386,0.003950148140445212,0.5211700534559551
parM,0.1347502075778081,0.004503338937266035,0.5144183698882107
group_26326,0.12387437999457673,0.005337604530488455,0.5116418638222868
group_20768,0.13614815818777656,0.004196653995914331,0.5083236917676403
