gene,mi_score,rf_importance,combined_score
tnpR,0.22987705558091476,0.021165347550371763,0.9540674997679843
group_3326,0.12523185904516554,0.023306388874159156,0.7723887710366373
folP2,0.10112329132266379,0.015485266225667824,0.552161569311506
group_8657,0.08467739941665137,0.012260683821941627,0.4472124307477303
ebr,0.07055966518651938,0.007554136666047106,0.3155341105339925
yhjK_2,0.04561443591415994,0.008851301652220707,0.28910487570117843
neo,0.062174798767569164,0.006179232690843894,0.2678001020152732
repA,0.052894278273824584,0.006634860777690619,0.2573890136577983
pemI,0.05686692325687824,0.005339815077368761,0.2382467553071511
intI,0.054818433990769494,0.004589110069784122,0.21768600262141352
group_14507,0.052539703692470546,0.003770364067072525,0.1951647513231563
urf2,0.03644948665864475,0.004671050137728591,0.17949003974206235
yedA_2,0.03670211721220879,0.0042795713995343035,0.17164100195212384
dhfrI,0.04018795671498131,0.0037271497799907004,0.16737167532205338
pemK,0.05953309975611852,0.0016752316366408443,0.16542831878026093
group_20717,0.050329346991338494,0.002552831098031238,0.16423690346368225
repE,0.04924176961417846,0.002385846469233289,0.15828896148565597
mphR,0.04025106080245702,0.002947327830388936,0.1507791422800699
ugpA_2,0.035559355616008495,0.0031662633793364966,0.1452712280583588
group_7221,0.043937442827894996,0.0022396339999423177,0.1436149025356605
rsvB,0.038936702829772865,0.0024697963511217795,0.13767566665716513
tnsB,0.03274356979792324,0.0029290421820609537,0.13405749252973514
group_16945,0.02148824592190582,0.003927863898688128,0.13100437753915029
ccdB_2,0.038225499629424634,0.0018976334675959489,0.12385393818755613
group_11074,0.032327443796777156,0.002404420591687305,0.12189749906963918
group_20781,0.043533609068609175,0.001209214990610334,0.12063059917647084
group_24688,0.03222782627178844,0.0021918415060229795,0.11712029097553578
group_5885,0.03198952864854575,0.0021267744348165817,0.11520606928284291
group_17014,0.03735307766632587,0.0014619682218530367,0.11260987759618586
group_18191,0.03433945265571775,0.0016934364536128226,0.11102078279392448
group_21010,0.035559355616008495,0.0015137026856863233,0.10981827360277063
parD1,0.03871918182486433,0.0011863543338770034,0.10966841780192248
group_15443,0.031701680399237965,0.0018683566110315028,0.1090360508531465
group_14300,0.033393544686669316,0.0016476949056485155,0.10798205213076362
group_12558,0.032330783249576174,0.00174522468915593,0.10776280560798844
kfoC,0.03623787859859859,0.0013286657446388037,0.1073244511629576
group_14301,0.0224722564075376,0.002722039885761816,0.10727571647404423
yfdA,0.032312447065385386,0.001548130200891944,0.1034945869930338
kdgT_2,0.03066511948232653,0.0017135734263167203,0.10346083532697452
yjgN,0.031422407828442134,0.0015945483683027489,0.1025545092085269
group_24752,0.026404106125798077,0.0019593107596774326,0.09946469637273447
arcA_2,0.02811465517343739,0.0017103301627026022,0.09784380347143909
group_20866,0.014735340856763202,0.0030192923478727,0.09682439886104098
dppA_1,0.03374483003186529,0.0010064454584087022,0.09498917882717693
